ID,Glottocode
283,beni1249
486,ruku1239
534,nyan1311
547,fung1247
552,lang1321
943,alab1256
944,algh1238
945,viva1235
946,gard1245
1123,bara1408
1135,mwen1238
1230,burg1244
1253,zemi1238
1333,ampi1237
1378,mila1245
1418,gube1234
1419,bain1259
1456,efut1241
1574,apol1242
1577,ashi1243
1584,bagh1249
1588,bang1335
1592,bart1238
1599,bhal1244
1601,bhum1234
1604,boka1249
1630,zoro1244
1675,bear1241
1735,demu1235
1751,midd1324
1792,bana1307
1863,dger1238
2030,awia1234
2053,mard1245
2062,nene1249
2088,huzh1238
2089,nese1235
2091,sout2962
2145,deng1252
2150,teus1236
2174,wail1244
2346,geji1246
2442,hare1244
2512,nati1244
2550,mudb1240
2707,wara1302
2805,taiw1247
2896,sakh1247
3065,navw1234
3114,teja1235
3189,dale1238
3196,dukh1234
3214,kais1242
3269,poit1240
3280,komi1277
3284,norm1245
3383,fuyu1243
3391,lang1309
3393,fore1274
3412,gall1275
3725,mpra1235
4106,dark1243
4570,tsix1234
4612,ganj1241
5048,shir1268
5049,mwin1241
5134,diah1239
5173,sama1296
5180,tazh1234
5194,maan1239
5245,yulp1239
5448,anda1282
5451,pudi1238
5452,wurl1240
5546,ngal1294
5549,liya1242
5554,binb1242
5560,yang1305
5561,bili1250
5562,liya1241
5563,mand1418
5609,muya1239
5641,kark1255
5657,leva1238
5677,pada1257
5679,bana1283
5684,ramo1243
5691,shim1250
5695,sure1238
5712,girr1240
5727,duun1241
5811,sich1239
5866,oros1238
5870,rush1239
5871,kaur1267
5872,toum1239
5874,phon1243
5876,rucc1239
5883,mayy1239
5884,khap1242
5929,bodi1253
5931,fada1248
5932,shee1239
5935,gari1254
5938,phal1255
5947,tyem1238
5987,yuwa1242
5998,kamd1238
6038,hwar1238
6045,lawi1235
6106,hwel1241
6108,khuf1238
6195,xinc1246
6196,xink1235
6229,djuw1238
6269,wang1288
6509,picu1248
6677,boon1243
6688,kani1276
6689,kart1247
6693,cola1237
6696,many1256
6700,mbiy1238
6704,mith1236
6717,ngum1253
6806,yara1254
7006,orig1234
7170,tang1377
7171,pail1243
7172,miny1239
7173,yaww1238
7175,alip1234
7176,brib1244
7177,brun1247
7185,indo1291
7187,oldb1247
7193,yogy1234
7256,lenc1243
7289,chon1286
8030,bale1254
8116,lara1261
8118,tana1291
8194,ikor1238
8234,kham1281
8509,tets1235
8529,mans1258
8550,nort3264
8551,sout3226
8552,east2774
8553,tazz1244
8554,cent2328
8555,sout3262
8556,gily1242
8570,solo1263
8571,ongk1234
8629,prov1235
8630,auve1239
8631,gasc1240
8741,pena1270
9011,plai1258
9089,eviy1235
9289,urmi1249
9290,barz1241
9329,assy1241
9629,kulo1237
9709,xinc1242
10069,afta1234
10071,meym1234
10072,zefr1234
10073,kuhp1234
10074,jarq1234
10109,hams1239
10129,camb1244
10309,rats1237
10378,hach1239
10414,hill1258
10424,sapw1237
10444,zara1252
10450,dyar1234
10452,dans1239
10453,nucl1693
10461,limo1246
10462,lush1256
10463,lang1332
10464,zull1239
10465,dirr1240
10470,ordo1245
10471,minh1238
10475,kuma1284
10479,tuha1234
10480,soyo1234
10481,lopn1238
10488,boto1248
10489,zaks1239
10495,sigi1234
10499,jude1276
10500,kash1276
10501,yazd1240
10502,jude1271
10503,shir1258
10568,urim1252
10624,lizu1234
10625,duox1238
10708,sadu1234
10709,cosa1234
10717,yila1234
10720,cunn1236
10722,jows1234
10724,kesh1234
10726,farv1234
10733,chir1296
10746,phut1246
10748,komn1238
10789,nasv1234
10790,avok1244
10791,nisv1234
10792,bwen1239
10794,vivt1234
10795,niti1249
10797,vovo1238
10801,orko1234
10814,long1406
10821,anei1239
10839,jaba1234
10840,garm1244
10847,sede1245
10853,cata1288
10890,balu1257
10920,chak1275
10922,apul1237
10229,baka1279
10466,buli1260
10467,tuna1234
10472,kuro1242
10473,kile1243
10482,manc1253
10606,ambu1247
10613,sosk1235
10628,biso1243
10629,ango1255
10773,bura1300
10777,moro1286
10782,polo1242
10798,naji1240
10799,njav1234
10800,niva1239
10804,lore1244
1251,triw1234
1252,dakk1239
1254,chat1270
1505,lakk1238
1607,bori1245
2090,kodi1252
2153,kumi1248
2487,vera1241
2513,sors1241
2963,kaiw1246
3160,yawu1244
3342,waka1274
3459,chol1282
3467,chuj1250
3912,boht1238
4009,badi1246
4172,chai1253
4314,ixil1251
4565,bare1279
4569,seng1286
5152,isol1239
5162,mapi1252
5447,yiij1234
5449,ngaa1240
5681,inpu1234
5726,dier1241
5878,hung1275
5882,aheu1239
5885,cent2314
6029,nucl1333
6046,souu1238
6149,popt1235
6197,poqo1254
6199,maya1285
6272,mirn1245
6632,kalk1246
6680,gayi1238
6684,sydn1236
7069,pini1245
7252,kats1235
8089,kaqc1270
8369,horp1239
8490,tazn1238
8530,cent2322
8549,sout3253
8557,chin1476
8602,tzel1254
8603,tzot1259
8929,buuu1246
